timestamp,lane_1_vehicles,lane_2_vehicles,lane_3_vehicles,lane_4_vehicles,ambulance_lane_1,ambulance_lane_2,ambulance_lane_3,ambulance_lane_4,action_index,activated_lane,green_time,reason_for_action,avg_reward,avg_loss,avg_q_value
2025-10-15T01:32:07.236544,0,0,0,0,0,0,0,0,0,1,8.0,Default (All lanes empty),0.00,0.0000,0.00
2025-10-15T01:32:19.318488,7,2,7,10,0,0,0,0,10,4,12.0,Congestion | Vehicles: 10,-50.00,0.0000,0.00
2025-10-15T01:32:34.360508,7,4,6,6,0,0,0,0,1,1,12.0,Congestion | Vehicles: 7,8.00,0.0000,0.00
2025-10-15T01:32:49.518069,9,5,9,3,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,0.00,0.0000,0.00
2025-10-15T01:33:04.609042,12,3,12,4,0,0,0,0,1,1,12.0,Congestion | Vehicles: 12,0.00,0.0000,0.00
2025-10-15T01:33:15.656863,5,1,5,5,0,0,0,0,0,1,8.0,Congestion | Vehicles: 5,14.00,0.0000,0.00
2025-10-15T01:33:27.735826,7,3,8,6,0,0,0,0,7,3,12.0,Congestion | Vehicles: 8,0.00,0.0000,0.00
2025-10-15T01:33:42.851361,12,0,12,5,0,0,0,0,1,1,12.0,Congestion | Vehicles: 12,0.00,0.0000,0.00
2025-10-15T01:33:54.906707,7,3,7,9,0,0,0,0,10,4,12.0,Congestion | Vehicles: 9,10.00,0.0000,0.00
2025-10-15T01:34:09.941579,9,3,8,8,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,2.00,0.0000,0.00
2025-10-15T01:34:22.038550,8,0,8,11,0,0,0,0,10,4,12.0,Congestion | Vehicles: 11,2.00,0.0000,0.00
2025-10-15T01:34:37.168879,8,4,8,7,0,0,0,0,1,1,12.0,Congestion | Vehicles: 8,8.00,0.0000,0.00
2025-10-15T01:34:52.302861,8,2,8,5,0,0,0,0,1,1,12.0,Congestion | Vehicles: 8,0.00,0.0000,0.00
2025-10-15T01:35:07.350519,9,0,9,4,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,0.00,0.0000,0.00
2025-10-15T01:35:22.425075,10,5,8,8,0,0,0,0,1,1,12.0,Congestion | Vehicles: 10,0.00,0.0000,0.00
2025-10-15T01:35:37.518552,9,4,9,4,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,2.00,0.0000,0.00
2025-10-15T01:35:49.592474,9,2,10,4,0,0,0,0,7,3,12.0,Congestion | Vehicles: 10,0.00,0.0000,0.00
2025-10-15T01:36:04.693933,9,3,6,7,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,8.00,0.0000,0.00
2025-10-15T01:36:16.720706,6,3,7,5,0,0,0,0,7,3,12.0,Congestion | Vehicles: 7,6.00,0.0000,0.00
2025-10-15T01:36:28.767660,6,3,8,7,0,0,0,0,7,3,12.0,Congestion | Vehicles: 8,0.00,0.0000,0.00
2025-10-15T01:36:43.782750,10,2,9,9,0,0,0,0,1,1,12.0,Congestion | Vehicles: 10,0.00,0.0000,0.00
2025-10-15T01:36:55.874936,8,3,7,9,0,0,0,0,10,4,12.0,Congestion | Vehicles: 9,4.00,0.0000,0.00
2025-10-15T01:37:10.917186,10,4,8,7,0,0,0,0,1,1,12.0,Congestion | Vehicles: 10,4.00,0.0000,0.00
2025-10-15T01:37:26.019332,7,3,7,4,0,0,0,0,1,1,12.0,Congestion | Vehicles: 7,6.00,0.0000,0.00
2025-10-15T01:37:41.035000,8,3,8,8,0,0,0,0,1,1,12.0,Congestion | Vehicles: 8,0.00,0.0000,0.00
2025-10-15T01:37:56.077424,10,2,9,6,0,0,0,0,1,1,12.0,Congestion | Vehicles: 10,0.00,0.0000,0.00
2025-10-15T01:38:11.116353,9,3,7,3,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,2.00,0.0000,0.00
2025-10-15T01:38:26.248203,7,6,7,7,0,0,0,0,1,1,12.0,Congestion | Vehicles: 7,4.00,0.0000,0.00
2025-10-15T01:38:41.326697,9,3,8,6,0,0,0,0,1,1,12.0,Congestion | Vehicles: 9,0.00,0.0000,0.00
2025-10-15T01:38:53.384249,9,3,10,8,0,0,0,0,7,3,12.0,Congestion | Vehicles: 10,0.00,0.0000,0.00
2025-10-15T01:39:05.449383,8,2,6,9,0,0,0,0,10,4,12.0,Congestion | Vehicles: 9,8.00,0.0000,0.00
2025-10-15T01:39:17.495295,7,2,8,9,0,0,0,0,10,4,12.0,Congestion | Vehicles: 9,0.00,0.0000,0.00
2025-10-15T01:39:32.554199,8,2,7,7,0,0,0,0,1,1,12.0,Congestion | Vehicles: 8,4.00,0.0000,0.00
2025-10-15T01:39:47.659771,8,2,7,3,0,0,0,0,1,1,12.0,Congestion | Vehicles: 8,0.00,0.0000,0.00
